accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, packetNum
-10497, -3073, 2561, -27904, 2047, 10750, 2304, -14831, 512, -10787
-8961, -2817, 4865, -27904, 2559, 10494, 1792, -14575, 512, -10275
-8961, -2817, 4865, -27904, 1791, 11262, 1280, -14319, 512, -10019
-8961, -2817, 4865, -28416, 1791, 11262, 1024, -14063, 768, -9763
-7169, -1793, 6401, -28416, 1791, 10750, 512, -13551, 1024, -9507
-7169, -1793, 6401, -28160, 1791, 10750, 256, -13039, 1024, -9251
-7169, -1793, 6401, -28160, 2047, 11006, -12783, -12783, 1280, -8995
-6913, -1025, 6145, -28160, 2047, 11006, -13295, 512, 1280, -8739
-6913, -1025, 6145, -28160, 1535, 10750, -13551, 1024, 1536, -8483
-6913, -1025, 6145, -28160, 1535, 10750, -13807, 1536, 1792, -8227
-5633, -1281, 4353, -28160, 2047, 10750, -14319, 1792, 2048, -7971
-5633, -1281, 4353, -27904, 2047, 10750, -14063, 2560, 2048, -7715
-5633, -1281, 4353, -27904, 1535, 11262, -14319, 2560, 2048, -7459
-5377, -769, 1537, -28416, 1535, 11262, -14319, 2560, 2304, -7203
-5377, -769, 1537, -28416, 1791, 11006, -14319, 2816, 2304, -6947
-6657, -513, -512, -27904, 1535, 11006, -14063, 2560, 2304, -6435
-6657, -513, -512, -27904, 1535, 11006, -14063, 2560, 2304, -6179
-6657, -513, -512, -27904, 1535, 11006, -13807, 2304, 2048, -5923
-6145, -513, -256, -27904, 1535, 11006, -13807, 1792, 2048, -5667
-6145, -513, -256, -27392, 2047, 11006, -13551, 768, 1792, -5155
-6657, 256, -1024, -27392, 1535, 11262, -13551, 512, 1536, -4899
-6657, 256, -1024, -27904, 1535, 11262, -13551, 256, 1536, -4643
-6657, 256, -1024, -27904, 1791, 11262, -13551, 0, 1280, -4387
-5633, 2048, -768, -27648, 1791, 11262, -13807, -12783, 1280, -4131
-5633, 2048, -768, -27648, 2047, 11006, -14063, -13039, 1280, -3875
-5633, 2048, -768, -27392, 2047, 11006, -14063, -13551, 1280, -3619
-5121, 3072, 257, -27392, 1279, 11006, -14575, -13807, 1280, -3363
-5121, 3072, 257, -27648, 2303, 11006, -15343, -14319, 1536, -2851
-4353, 3328, 769, -27648, 2303, 11006, -15343, -14575, 1792, -2595
-4353, 3328, 769, -27648, 1791, 11006, -16111, -14575, 1792, -2339
-4353, 3328, 769, -28160, 1791, 11006, -16111, -15087, 2048, -2083
-4609, 3840, 1, -28160, 2047, 10750, -16367, -15343, 2304, -1827
-4609, 3840, 1, -27648, 2047, 10750, -16367, -15855, 2560, -1571
-4609, 3840, 1, -27648, 2559, 11006, -16367, -16111, 2560, -1315
-5377, 3840, -1280, -28160, 2559, 11006, -16111, -16367, 2816, -1059
-5377, 3840, -1280, -28160, 2047, 10494, -16111, -16367, 3072, -803
-4353, 4352, -2816, -28160, 2559, 10238, -15599, -16623, 3328, -291
-4353, 4352, -2816, -28416, 2559, 10238, -15343, -16367, 3328, -35
-4353, 4352, -2816, -28416, 2303, 10750, -15087, -16367, 3584, 222
-4097, 4096, -4608, -29184, 2303, 9982, -14063, -16111, 3840, 734
-4097, 4096, -4608, -29184, 2303, 9982, -13551, -16367, 4096, 990
-3585, 4608, -4608, -29184, 2815, 10238, -13295, -16367, 4096, 1246
-3585, 4608, -4608, -29440, 2815, 10238, 0, -16367, 4608, 1502
-3585, 4608, -4608, -29440, 1535, 10494, 256, -16367, 4608, 1758
